,,,,,,,
,id_penjualan,id_produk,jumlah_terjual,harga_jual,total_penjualan,tanggal_penjualan,id_customer
,1,1,100,8000000,800000000,11/1/2024,101
,2,2,50,500000,25000000,11/2/2024,102
,3,3,30,3000000,90000000,11/3/2024,103
,4,4,150,1000000,150000000,11/4/2024,104
,5,5,70,2000000,140000000,11/5/2024,105
,6,6,60,1500000,90000000,11/6/2024,106
,7,7,20,6000000,120000000,11/7/2024,107
,8,8,10,4000000,40000000,11/8/2024,108
,9,9,200,800000,160000000,11/9/2024,109
,10,10,300,600000,180000000,11/10/2024,110
,11,11,150,1200000,180000000,11/11/2024,111
,12,12,50,7000000,350000000,11/12/2024,112
,13,13,100,1000000,100000000,11/13/2024,113
,14,14,60,2500000,150000000,11/14/2024,114
,15,15,500,150000,75000000,11/15/2024,115
,16,16,100,4000000,400000000,11/16/2024,116
,17,17,250,2500000,625000000,11/17/2024,117
,18,18,80,3000000,240000000,11/18/2024,118
,19,19,150,3500000,525000000,11/19/2024,119
,20,20,120,4500000,540000000,11/20/2024,120
