,,,,,
,id_persediaan,id_produk,jumlah_stok,tanggal_update,lokasi
,1,1,200,11/1/2024,Gudang A
,2,2,150,11/2/2024,Gudang B
,3,3,50,11/3/2024,Gudang C
,4,4,300,11/4/2024,Gudang A
,5,5,100,11/5/2024,Gudang B
,6,6,250,11/6/2024,Gudang C
,7,7,100,11/7/2024,Gudang A
,8,8,50,11/8/2024,Gudang B
,9,9,300,11/9/2024,Gudang C
,10,10,400,11/10/2024,Gudang A
,11,11,200,11/11/2024,Gudang B
,12,12,100,11/12/2024,Gudang C
,13,13,150,11/13/2024,Gudang A
,14,14,300,11/14/2024,Gudang B
,15,15,50,11/15/2024,Gudang C
,16,16,200,11/16/2024,Gudang A
,17,17,100,11/17/2024,Gudang B
,18,18,150,11/18/2024,Gudang C
,19,19,200,11/19/2024,Gudang A
,20,20,100,11/20/2024,Gudang B
